Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Firgun,кофейня,Кофейни; Кондитерские изделия,"Молодогвардейская улица, 82",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:30; Вт: 09:00-20:30; Ср: 09:00-20:30; Чт: 09:00-20:30; Пт: 09:00-20:30; Сб: 09:00-20:30; Вс: 09:00-20:30,+04:00,4.4,143,89879416065,,,,http://firgun.tilda.ws,,,,https://vk.com/soikacoffee,,,,,https://t.me/+79879416065,,,53.187249,50.096323,https://2gis.com/firm/70000001023609814,branch
Surf Coffee x Kusto,кофейня,Кофейни; Кафе-кондитерские,"Куйбышева, 100",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.6,23,89272607337,88007772407,88462050702,,http://www.surfcoffee.ru,,,,https://vk.com/surfcoffee,,,,,https://t.me/surfcoffee_info,,,53.190133,50.090419,https://2gis.com/firm/70000001082424572,branch
Cup to cup,кофейня,Кофейни; Доставка еды,"Академика Платонова, 8",1 этаж,443011,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,3.6,60,88469908998,,,,,,,,https://vk.com/cuptocup,,,,,,,,53.223854,50.173649,https://2gis.com/firm/70000001044349518,branch
Булка нетто,пекарня,Кофейни; Пекарни; Доставка еды,"9-я просека 5-я линия, 99а",1 этаж,443031,Барбошина поляна,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 09:00-18:00,+04:00,3.8,67,89276531602,,,,,,,,,,,,,,,,53.264799,50.209324,https://2gis.com/firm/70000001028205668,branch
Lumos barista lab,,Кофейни; Продажа кофе; Кондитерские изделия,"Чапаевская, 187",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00; Сб: 07:00-20:00; Вс: 09:00-20:00,+04:00,4.4,19,89649856819,,,,http://lumosbaristalab.com,,,,,https://wa.me/79649856819,,,,https://t.me/+79649856819,,,53.198128,50.102115,https://2gis.com/firm/70000001077831756,branch
CupStore,кофейня,Кофейни; Доставка еды; Кондитерские изделия,"улица Лесная, 23 к5",2 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+04:00,4.7,212,89397143670,,,,http://cupstore.online,,,,https://vk.com/cupstore_rus,,,,,https://t.me/pictures_smr,,,53.212244,50.125405,https://2gis.com/firm/70000001069092373,branch
Пантуфль,кофейня,Кофейни; Кондитерские изделия,"Галактионовская, 52",1 этаж,443010,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,4.9,25,89889498411,,,,,,,,https://vk.com/pantoufle_63,https://wa.me/79889498411,,viber://chat/?number=79889498411,,https://t.me/+79889498411,,,53.188912,50.099938,https://2gis.com/firm/70000001077840531,branch
Этажи,кофейня,Кофейни,"Садовая, 142",1 этаж,443041,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,4.3,12,88462051077,89879551077,,,http://xn--80aaodk6afocifg9k.xn--p1acf/,,,,https://vk.com/etazhi_smr,https://wa.me/79879551077,,,,,,,53.192731,50.107504,https://2gis.com/firm/70000001080573056,branch
Эклерная,,Кофейни; Кондитерские изделия,"улица Ленинская, 301",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,3.3,51,88462265200 (единая справочная: пн-вс 9:00-22:00),,,,http://eclernaya.ru,,,,https://vk.com/eclernaya,,,,,,,,53.203015,50.125981,https://2gis.com/firm/70000001034273533,branch
Юни ,эспрессо-бар,Кофейни; Кондитерские изделия,"Стара Загора, 27",1 этаж,443081,6-й м-н,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-24:00; Сб: 10:00-24:00; Вс: 10:00-22:00,+04:00,4.7,84,89371846464,,,,,,,,https://vk.com/unie_smr,https://wa.me/79371846464,,viber://chat/?number=79371846464,,https://t.me/nicki_stepaj,,,53.225411,50.200323,https://2gis.com/firm/70000001059812369,branch
Десертная,кофейня-кондитерская,Кофейни; Кафе-кондитерские,"улица Ленинская, 116",2 этаж,443020,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+04:00,4.6,14,89270172007,,,,,,,,https://vk.com/desertnaya_smr,https://wa.me/79270172007,,,,,,,53.188874,50.107464,https://2gis.com/firm/70000001083557038,branch
Coffee cake,кафе,Кофейни; Доставка еды; Кондитерские изделия,"Полевая, 1",1 этаж,443071,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+04:00,3.3,160,88462444403,,,,http://t.me/coffee_samara,,,,https://vk.com/coffeecakesmr,,,,,,,,53.209137,50.118449,https://2gis.com/firm/70000001022061124,branch
Крепвилль,кофейня,Кофейни; Продажа кофе,"улица Советской Армии, 238",2 этаж,443011,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,4.4,85,89372308062,,,,,,,,,,,,,,,,53.23678,50.18242,https://2gis.com/firm/70000001031407379,branch
Кофейная поляна,,Кофейни,"улица Авроры, 110 к1",1 этаж,443069,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,4.9,69,89377947424,,,,,,,,https://vk.com/cafepolyanasmr,https://wa.me/79377947424,,,,,,,53.193703,50.190276,https://2gis.com/firm/70000001035467764,branch
Black milk,кофейня,Кофейни,"улица Ново-Садовая, 169",1 этаж,443086,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,4.6,33,89257284937,,,,,,,,,https://wa.me/79257284937,,,,,,,53.219539,50.159073,https://2gis.com/firm/70000001081116534,branch
Ma cherie,кондитерская,Кофейни; Кондитерские изделия; Хлебобулочные изделия; Кафе-кондитерские; Доставка еды,"Молодогвардейская улица, 209",1 этаж,443100,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,3.4,78,89372330830 (доп.1),,,,http://macherie.cafe,,,,https://vk.com/macherie.cafe,,,,,https://t.me/macheriecafe,,,53.204425,50.116871,https://2gis.com/firm/70000001043614073,branch
Stars Coffee,кофейня,Кофейни,"Красноармейская улица, 131",1 этаж,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.3,17,89297070367,,,,http://t.me/starscoffee,,,,https://vk.com/starscoffee_official,,,,,https://t.me/starscoffee,,,53.186596,50.126438,https://2gis.com/firm/70000001082864169,branch
MB Cafe,кофейня,Кофейни,"Красноармейская улица, 10",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.3,35,89377950850,,,,http://t.me/mbcafesamara,,,,https://vk.com/mbcafe.samara,https://wa.me/79377950850,,,,https://t.me/+79377950850,,,53.194386,50.097323,https://2gis.com/firm/70000001047617705,branch
Котель,экокофейня,Кофейни; Кондитерские изделия; Продажа кофе,"Георгия Димитрова улица, 14",1 этаж,443114,13-й м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,5.0,19,,,,,http://t.me/kotel_14,,,,https://vk.com/kotel_samara,,,,,https://t.me/+79063473747,,,53.250011,50.239439,https://2gis.com/firm/70000001082381113,branch
Супер Эклеры,кофейня-эклерная,Кофейни; Кондитерские изделия; Продажа кофе; Продажа чая,"7-я просека, 110",1 этаж,443029,,Промышленный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.5,42,89018039469,,,,,,,,,,,viber://chat/?number=79018039469,,,,,53.254201,50.200793,https://2gis.com/firm/70000001038337483,branch
8 атомов,кофейня,Кофейни,"Куйбышева, 128/1",,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,4.2,4,89959331288,,,,,,,,https://vk.com/8atom,,,,,,,,53.194558,50.092844,https://2gis.com/firm/70000001082057864,branch
Stars Coffee,кофейня,Кофейни,"улица Дыбенко, 30",1 этаж,443045,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,3.3,66,89822900047,,,,http://stars-coffee.ru,,,,https://vk.com/starscoffee_official,,,,,https://t.me/starscoffee,,,53.207645,50.198323,https://2gis.com/firm/70000001026171287,branch
Muse,кофейня,Кофейни; Продажа кофе; Кондитерские изделия; Хлебобулочные изделия,"Самарская улица, 72",,443010,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+04:00,4.9,10,89934654288,,,,,,,,https://vk.com/muse_coffee,,,,,,,,53.189139,50.102548,https://2gis.com/firm/70000001092076523,branch
Vайс,,Кофейни; Безалкогольные напитки; Кафе-кондитерские; Кафе,"Ленинградская улица, 30",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+04:00,5.0,14,89869538024 (управляющая),,,,http://vacedrink.taplink.ws,,,,https://vk.com/vace_drink,https://wa.me/79869538024,,,,https://t.me/vace_drink,,https://youtube.com/@vacedrink,53.187907,50.090126,https://2gis.com/firm/70000001067355797,branch
Кофеваркин,,Кофейни; Продажа кофе,"улица Ново-Урицкая, 12 к4",1 этаж,443082,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30,+04:00,5.0,32,89277337775,,,,http://coffeevarkin.ru,,,,https://vk.com/coffeevarkin,https://wa.me/79277337775,,,,https://t.me/coffeevarkin_bot,,,53.185255,50.14799,https://2gis.com/firm/70000001053200524,branch
Кофейная поляна,,Кофейни,"Урицкого, 2",1 этаж,443030,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,4.9,46,89377947424,,,,,,,,,https://wa.me/79377947424,,viber://chat/?number=79377947424,,https://t.me/+79377947424,,,53.191928,50.12509,https://2gis.com/firm/70000001053746171,branch
Twinz,кофейня,Кофейни,"Молодогвардейская улица, 87",1 этаж,443010,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+04:00,4.8,17,89397151215,,,,http://Twinzcoffee.ru,,,,,https://wa.me/79397151215,,,,,,,53.189961,50.09852,https://2gis.com/firm/70000001063091809,branch
Точка притяжения,,Кофейни; Кондитерские изделия; Алкогольные напитки,"Фрунзе, 130",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,5.0,13,89270120230,,,,,,,,https://vk.com/samaratochkaprityazheniya,https://wa.me/79270120230,,,,https://t.me/+79270120230,,,53.193823,50.095335,https://2gis.com/firm/70000001075541505,branch
Юни ,эспрессо-бар,Кофейни; Продажа кофе,"улица Ново-Садовая, 164",вывеска Кофе,443011,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.5,11,89371846464,,,,,,,,https://vk.com/unie_smr,,,,,https://t.me/+79371846464,,,53.234514,50.184404,https://2gis.com/firm/70000001088110225,branch
Coffee time,,Кофейни,"1-й квартал, 42",1 этаж; рядом с 3 подъездом,443028,Мехзавод пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+04:00,5.0,18,89966239349,,,,,,,,https://vk.com/cofftime,,,,,,,,53.306574,50.288249,https://2gis.com/firm/70000001067019778,branch
Vandal coffee,точка кофе с собой,Кофейни,"улица Солнечная, 18",,443124,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,5.0,32,,,,,,,,,https://vk.com/vandalcoffeetlt,,,,,,,,53.242068,50.186151,https://2gis.com/firm/70000001089632884,branch
Вкусная Компания,,Кофейни; Кондитерские изделия; Кейтеринг,"улица Лесная, 33",2 этаж,443110,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,3.8,17,89679206535,,,vkus_com@mail.ru,http://vkusnayakompania.uds.app/c,http://vkus-com.ru/,http://vkuscom.2gis.biz,,https://vk.com/vkusnayakompania,,,,,,,,53.215089,50.133549,https://2gis.com/firm/70000001086015412,branch
Брат,кофейня,Кофейни; Кафе,"Мориса Тореза, 67а",1 этаж,443069,,Железнодорожный район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00,+04:00,5.0,35,89022404040,,,,,,,,,https://wa.me/79022404040,,,,,,,53.196779,50.186245,https://2gis.com/firm/70000001082437291,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"проспект Карла Маркса, 201Б",1 этаж,443080,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+04:00,4.5,38,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.213402,50.187359,https://2gis.com/firm/70000001062690115,branch
Buna,,Кофейни,"улица Советской Армии, 132",1 этаж,443090,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,5.0,18,89179774032,89954858908,,,http://t.me/bunacoffeeanddessert,,,,https://vk.com/club225390938,https://wa.me/79179774032,https://wa.me/79954858908,viber://chat/?number=79179774032,,,,,53.212771,50.208919,https://2gis.com/firm/70000001087555847,branch
Vandal coffee,точка кофе с собой,Кофейни,,,443080,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,4.9,101,,,,,,,,,https://vk.com/vandalcoffeetlt,,,,,,,,53.216572,50.18869,https://2gis.com/firm/70000001080454612,branch
Do.Bro Coffee,кофейня,Кофейни; Продажа кофе,"улица Революционная, 3",1 этаж; вход с ул. Революционная,443086,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+04:00,5.0,88,89379864898,,,,http://dobro-coffee.com,,,,https://vk.com/do.bro_smr,https://wa.me/79379864898,,viber://chat/?number=79379864898,,,,https://youtube.com/c/DOBROcoffee,53.216823,50.16334,https://2gis.com/firm/70000001071542367,branch
Samara power drinks,,Кофейни,"Чапаевская, 91",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+04:00,4.8,20,89633693929,,,,http://t.me/samarapowerdrinks,,,,https://vk.com/samarapowerdrinks,https://wa.me/79633693929,,,,,,,53.187358,50.094164,https://2gis.com/firm/70000001082781235,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"Московское шоссе, 55",1 этаж,443080,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,4.9,20,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.224401,50.192987,https://2gis.com/firm/70000001066199651,branch
Vandal coffee,точка кофе с собой,Кофейни,"Куйбышева, 73/1",,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+04:00,5.0,78,,,,,,,,,https://vk.com/vandalcoffeetlt,,,,,,,,53.185006,50.088367,https://2gis.com/firm/70000001076639643,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"улица Антонова-Овсеенко, 44Б",центр Миллион,443090,,Советский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+04:00,5.0,12,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.212898,50.215806,https://2gis.com/firm/70000001062585396,branch
Дача,бистро,Кофейни; Кафе,"Максима Горького, 1а",,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+04:00,4.7,37,89874337723,,,,,,,,https://vk.com/dacha_bistro,,,,,,,,53.199117,50.094172,https://2gis.com/firm/70000001062334926,branch
Coffee inn,кофейня,Кофейни,"Чапаевская, 232",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-20:00,+04:00,5.0,51,89198001949,,,,,,,,,,,,,,,,53.20039,50.102697,https://2gis.com/firm/70000001025492267,branch
New coffee,кофейня,Кофейни; Кондитерские изделия; Доставка еды,"Московское шоссе, 205",1 этаж,443095,14-й м-н,Кировский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+04:00,4.1,68,89370705632,,,,,,,,,,,,,,,,53.258208,50.23574,https://2gis.com/firm/70000001044874988,branch
Shu Authentic Coffee,кофейня,Кофейни; Кафе-кондитерские,"Ленинградская улица, 28а",1 этаж,443099,,Самарский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,5.0,24,89277104782,,,,,,,,,,,,,,,,53.187976,50.089842,https://2gis.com/firm/70000001067355800,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"Московское шоссе, 4 к4",1 этаж,443013,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+04:00,4.9,354,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.204068,50.14842,https://2gis.com/firm/70000001059201399,branch
Своя тарелка,евростоловая,Кофейни; Кулинарии,"Самарская улица, 148",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+04:00,4.3,44,88462010199 (единый номер: пн-пт 9:00-16:00),,,,http://svoya-tarelka.ru,,,,,,,,,,,,53.19635,50.107485,https://2gis.com/firm/70000001067950149,branch
Вкус жизни,кафе,Кофейни,"Стара Загора, 52",1 этаж,443090,,Октябрьский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,4.4,7,88462282503,,,,http://realchoco.ru,,,,https://vk.com/realchoco,,,,,,,,53.224417,50.196829,https://2gis.com/firm/70000001017433751,branch
Булка нетто,пекарня,Кофейни; Пекарни; Доставка еды,"Молодогвардейская улица, 166",1 этаж,443010,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 09:00-18:00,+04:00,3.4,8,88462140425,,,,,,,,,,,,,,,,53.198305,50.103703,https://2gis.com/firm/70000001056679715,branch
Маруся,кондитерская,Кофейни; Кондитерские изделия,"1-й квартал, 34",1 этаж,443028,Мехзавод пос.,Красноглинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+04:00,4.9,18,89613910022,,,,http://t.me/marusy_cake63,,,,,https://wa.me/79613910022,,viber://chat/?number=79613910022,,https://t.me/+79613910022,,,53.308983,50.285519,https://2gis.com/firm/70000001090402903,branch
Cup-cup,кофе-бар,Кофейни; Продажа кофе; Кондитерские изделия; Безалкогольные напитки,"Галактионовская, 157",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+04:00,4.9,24,89270000388 (единый номер),,,,http://cupcup.uds.app/c,,,,,,,,,,,,53.198387,50.106853,https://2gis.com/firm/70000001046030236,branch
Мечтатели,кофейня,Кофейни,"Полевая, 59",,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+04:00,5.0,3,89275000308,,,,,,,,,,,,,,,,53.20278,50.126157,https://2gis.com/firm/70000001093470104,branch
Вкус жизни,кафе,Кофейни,"Садовая, 256",1 этаж,443001,,Ленинский район,Самара,Самара городской округ,Самарская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+04:00,4.8,6,88462050709,89276891515,,,http://realchoco.ru,,,,https://vk.com/realchoco,,,,,,,,53.202187,50.119962,https://2gis.com/firm/2533804071442452,branch
